driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Base_60,4,G,I,GF->FE->EI,44.0,457.65,39.43,0.1955
Base_22,5,H,D,HC->CJ->JD,68.0,442.08,25.44,0.4885
Base_49,2,I,B,IH->HB,78.0,299.54,26.29,0.4665
Base_3,4,I,F,IE->EF,27.0,316.23,43.33,0.1081
Base_48,4,F,I,FE->EI,32.0,316.23,36.88,0.2437
Base_5,4,A,I,AB->BH->HI,35.0,457.65,48.71,0.0171
Base_57,4,J,H,JC->CH,20.0,261.8,50.0,0.0
Base_68,4,G,C,GB->BC,25.0,308.11,46.0,0.0552
Base_69,5,H,F,HF,14.0,158.11,41.07,0.1329
Base_77,4,D,B,DA->AB,34.0,308.11,34.41,0.2871
Base_75,2,F,D,FH->HC->CJ->JD,99.0,600.19,28.38,0.4198
Base_30,5,B,C,BC,13.0,150.0,43.46,0.0877
Base_16,3,B,G,BG,44.0,158.11,26.82,0.4527
Base_40,4,J,F,JC->CH->HF,34.0,419.92,45.15,0.0688
Base_7,5,A,C,AB->BC,28.0,308.11,41.61,0.14
Base_54,4,F,E,FE,18.0,158.11,32.22,0.33
Base_23,4,E,G,EF->FG,27.0,299.54,40.93,0.1585
Base_55,5,F,G,FG,13.0,141.42,40.38,0.1754
Base_72,3,A,J,AD->DJ,58.0,330.28,37.93,0.23
Base_9,4,E,C,EI->IH->HC,55.0,428.03,38.27,0.2156
Base_10,5,I,C,IH->HC,44.0,269.92,34.48,0.2959
Base_17,4,I,D,IJ->JD,50.0,338.39,36.2,0.2668
Base_14,6,E,I,EI,12.0,158.11,47.92,0.03
Base_28,7,F,E,FE,20.0,158.11,28.5,0.413
Base_19,4,E,C,EI->IH->HC,43.0,428.03,38.14,0.2167
Base_70,3,D,I,DJ->JI,71.0,338.39,33.92,0.3168
Base_13,5,I,B,IH->HB,32.0,299.54,36.25,0.2644
Base_20,4,E,F,EF,15.0,158.11,38.33,0.18
Base_60,5,I,E,IE,15.0,158.11,40.33,0.144
Base_3,5,F,G,FG,14.0,141.42,38.57,0.1929
Base_44,5,E,G,EF->FG,29.0,299.54,38.62,0.1869
Base_51,5,A,B,AB,25.0,158.11,25.0,0.5
Base_6,7,H,J,HC->CJ,25.0,261.8,39.0,0.1976
Base_26,4,A,E,AB->BH->HF->FE,60.0,615.76,38.58,0.2083
Base_29,5,E,G,EF->FG,28.0,299.54,40.89,0.1457
Base_45,3,I,F,IE->EF,28.0,316.23,41.96,0.1179
Base_38,3,D,J,DJ,24.0,180.28,27.08,0.4458
Base_71,4,J,B,JC->CB,24.0,300.0,47.29,0.0325
Base_35,3,F,D,FH->HC->CJ->JD,116.0,600.19,30.3,0.3776
Base_36,3,I,G,IH->HB->BG,92.0,457.65,26.07,0.4721
Base_39,4,B,F,BG->GF,45.0,299.54,30.56,0.3689
Base_42,5,C,D,CJ->JD,79.0,330.28,25.62,0.4837
Base_61,4,D,E,DJ->JI->IE,62.0,496.51,36.57,0.258
Base_15,6,D,J,DJ,27.0,180.28,30.45,0.3655
Base_53,2,D,C,DJ->JC,46.0,330.28,32.7,0.3443
Base_68,5,C,I,CH->HI,21.0,269.92,49.52,0.0057
Base_69,6,F,C,FH->HC,21.0,269.92,50.0,0.0
Base_4,5,B,F,BG->GF,36.0,299.54,31.0,0.3577
Base_74,3,G,D,GB->BA->AD,39.0,466.23,44.36,0.1046
Base_7,6,C,J,CJ,19.0,150.0,29.21,0.3905
Base_13,6,B,H,BH,11.0,141.42,49.55,0.0055
Base_70,4,I,H,IH,12.0,158.11,50.0,0.0
Base_20,5,F,H,FH,12.0,158.11,49.17,0.01
Base_24,5,I,D,IJ->JD,45.0,338.39,34.67,0.2947
Base_27,6,C,A,CB->BA,33.0,308.11,34.55,0.3018
Base_32,4,F,A,FH->HB->BA,55.0,457.65,31.18,0.3531
Base_51,6,B,C,BC,11.0,150.0,50.0,0.0
Base_14,7,I,J,IJ,17.0,158.11,33.82,0.2706
Base_25,3,A,G,AB->BG,45.0,316.23,27.89,0.432
Base_58,7,I,F,IE->EF,28.0,316.23,42.5,0.1136
Base_16,4,G,C,GB->BC,23.0,308.11,48.7,0.0157
Base_65,6,C,E,CH->HF->FE,47.0,428.03,34.79,0.2791
